Temperature(°),W12(um),W34(um),W58(um),W6(um),W7(um),Idc(uA),Length(um),Gain(db),Bandwidth(Hz),GBW(MHz),Power(uW),PM(degree),GM(dB),PSRR(dB),SlewRate (V/us),CMRR,Class
-40,10.5,30,18,30,30,130,0.18,52.7646,26623,40.4837,2159.64,60.6298,7.36424,48.8624,6.8687,60.7579,0
-40,10.6,30,18,30,30,130,0.18,52.7732,26650.5,40.7034,2159.88,60.5638,7.34659,48.8716,6.8697,60.766,0
-40,10.6,30,18,30,30,130,0.18,52.7818,26677.8,40.9219,2160.13,60.4983,7.32908,48.8807,6.8706,60.774,0
-40,10.7,30,18,30,30,130,0.18,52.7903,26705,41.1387,2160.37,60.4331,7.31172,48.8898,6.8716,60.7819,0
-40,10.8,30,18,30,30,130,0.18,52.7987,26731.9,41.3539,2160.62,60.3683,7.29449,48.8987,6.8725,60.7898,0
-40,10.8,30,18,30,30,130,0.18,52.807,26758.7,41.5674,2160.86,60.3038,7.27739,48.9076,6.8734,60.7976,0
-40,10.9,30,18,30,30,130,0.18,52.8153,26785.3,41.7795,2161.1,60.2397,7.26043,48.9164,6.8744,60.8054,0
-40,10.9,30,18,30,30,130,0.18,52.8235,26811.7,41.9903,2161.33,60.1759,7.24361,48.9252,6.8753,60.8131,0
-40,11,30,18,30,30,130,0.18,52.8316,26837.9,42.1994,2161.57,60.1125,7.22691,48.9338,6.8762,60.8207,0
-40,11,30,18,30,30,130,0.18,52.8397,26864,42.4069,2161.8,60.0495,7.21034,48.9424,6.8771,60.8283,0
-40,11.1,30,18,30,30,130,0.18,52.8477,26889.9,42.6129,2162.04,59.9868,7.1939,48.9509,6.878,60.8358,0
-40,11.1,30,18,30,30,130,0.18,52.8557,26915.6,42.8177,2162.27,59.9244,7.17759,48.9593,6.8789,60.8432,0
-40,11.2,30,18,30,30,130,0.18,52.8635,26941.4,43.0211,2162.5,59.8624,7.1614,48.9677,6.8798,60.8506,0
-40,11.3,30,18,30,30,130,0.18,52.8713,26967,43.2229,2162.72,59.8008,7.14534,48.976,6.8806,60.8579,0
-40,11.3,30,18,30,30,130,0.18,52.8791,26992.5,43.4232,2162.95,59.7394,7.12939,48.9842,6.8815,60.8652,0
-40,11.4,30,18,30,30,130,0.18,52.8868,27017.8,43.6221,2163.18,59.6784,7.11357,48.9924,6.8824,60.8724,0
-40,11.4,30,18,30,30,130,0.18,52.8944,27043,43.8198,2163.4,59.6177,7.09786,49.0005,6.8832,60.8795,0
